,path,approach,replication_group,source,target,dataset,backbone,adaption_mode,test/source/rmse/dataloader_idx_0,test/source/score/dataloader_idx_0,test/target/score/dataloader_idx_1,test/target/rmse/dataloader_idx_1,validation,epoch_time
22,rul-adapt/benchmark/t4q0ji6u,AdaRulApproach,0b8280e9-483a-4c69-830c-cd186f8885dc,3,1,cmapss,cnn,60percent,21.723663330078125,1342.259033203125,96598.5234375,36.900856018066406,34.55617904663086,2.223217453275408
23,rul-adapt/benchmark/godk835x,AdaRulApproach,0a5730fc-72eb-4a06-a463-49a05fd4afa9,2,1,cmapss,cnn,60percent,32.00761032104492,6636.919921875,2910.02978515625,28.33405876159668,30.562593460083008,4.435982684294383
24,rul-adapt/benchmark/1ydpjrgw,AdaRulApproach,6a2bdde7-84d7-48d6-be8d-9a32e6b1ba68,3,2,cmapss,cnn,60percent,20.892885208129883,900.1900024414062,2807200.75,48.19056701660156,46.835750579833984,3.1517280207739935
25,rul-adapt/benchmark/4gvcwv9i,AdaRulApproach,351cfadf-00ca-4aa7-838b-1e3bed379c8c,1,3,cmapss,cnn,60percent,35.803218841552734,13518.44140625,17750.27734375,35.07741928100586,29.80477523803711,2.2738568484783173
26,rul-adapt/benchmark/hjislz9k,AdaRulApproach,0b8280e9-483a-4c69-830c-cd186f8885dc,3,1,cmapss,cnn,60percent,28.483200073242188,12648.9296875,5497.451171875,29.293455123901367,30.601890563964844,2.439780842174183
27,rul-adapt/benchmark/znyk6fdn,AdaRulApproach,351cfadf-00ca-4aa7-838b-1e3bed379c8c,1,3,cmapss,cnn,60percent,44.71868133544922,165097.703125,9528.51953125,31.911256790161133,27.25919532775879,2.1931580213400035
28,rul-adapt/benchmark/rm01kg27,AdaRulApproach,6a2bdde7-84d7-48d6-be8d-9a32e6b1ba68,3,2,cmapss,cnn,60percent,58.72826385498047,259630.75,89019.84375,42.02927017211914,42.96553421020508,3.028323998818031
29,rul-adapt/benchmark/2wh35o14,AdaRulApproach,0a5730fc-72eb-4a06-a463-49a05fd4afa9,2,1,cmapss,cnn,60percent,34.9515266418457,15245.3984375,2181.7734375,24.52802085876465,25.333398818969727,4.573015506450947
30,rul-adapt/benchmark/eo6fb6m2,AdaRulApproach,351cfadf-00ca-4aa7-838b-1e3bed379c8c,1,3,cmapss,cnn,60percent,38.63677215576172,14581.70703125,48755.4296875,33.28561782836914,30.11649703979492,1.9829082012176513
31,rul-adapt/benchmark/8dtebtg2,AdaRulApproach,0b8280e9-483a-4c69-830c-cd186f8885dc,3,1,cmapss,cnn,60percent,14.9769287109375,815.189453125,11044.154296875,32.229671478271484,35.31655502319336,2.246136744817098
